,date,time,price
679,4/12/2022,8:00 a.m.,73
680,4/12/2022,12:00 p.m.,69
681,4/13/2022,8:00 a.m.,65
682,4/13/2022,12:00 p.m.,60
683,4/14/2022,8:00 a.m.,57
684,4/14/2022,12:00 p.m.,53
685,4/15/2022,8:00 a.m.,49
686,4/15/2022,12:00 p.m.,47
687,4/16/2022,8:00 a.m.,43
688,4/16/2022,12:00 p.m.,40
689,4/17/2022,5:00 a.m.,100
690,4/18/2022,8:00 a.m.,88
691,4/18/2022,12:00 p.m.,111
692,4/19/2022,8:00 a.m.,161
693,4/19/2022,12:00 p.m.,505
694,4/20/2022,8:00 a.m.,171
695,4/20/2022,12:00 p.m.,121
696,4/21/2022,8:00 a.m.,70
697,4/21/2022,12:00 p.m.,68
698,4/22/2022,8:00 a.m.,79
699,4/22/2022,12:00 p.m.,70
700,4/23/2022,8:00 a.m.,45
701,4/23/2022,12:00 p.m.,42
702,4/24/2022,5:00 a.m.,103
